1286143,11,nienokoue virus,VHostDB
1903340,37,anopheles flavivirus variant 1
1903341,38,anopheles flavivirus variant 2
1903413,39,anopheles flavivirus-like 1
1969397,42,karumba virus,VHostDB
1969400,45,mac peak virus,VHostDB
390844,91,culex flavivirus,VHostDB
643132,125,quang binh virus,VHostDB
