# accessions
GCF_000006445.2
GCF_000209165.1
AADN02
AAFR03
AAGE02
AAGU03
AAKN02
AAQR01
AAWU01
ABDC01
ABJB01
ABQO01
ABRO01
ABRP01
ABRQ01
ACBE01
CABD02
ABXC01
ACHR01
ACYM01
ACYX01
CACC01
CACN01
CACM01
ABAR01
