summary data												
Tool	Threads	Metric	mean	sd 								
DIGS	3	40	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	4:20:34	52559.4	1393.97	345	523664
												
Palatini	1	1	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	26:51:21	94793.05	608.38	98	10364096
Palatini	2	1	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	28:36:03	101178.75	549.39	98	10494016
Palatini	3	1	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	28:33:52	100868.64	563.29	98	10494016
Palatini	1	8	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	4:37:23	103844.87	726.27	628	10473804
Palatini	2	8	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	4:43:47	105895.65	555.39	625	10704072
Palatini	3	8	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	5:17:24	122173.26	602.7	644	10710168
Palatini	1	16	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	3:02:15	108470.2	833.51	999	10569880
Palatini	2	16	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	3:03:35	109473.92	786.39	1000	10564588
Palatini	3	16	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	3:37:59	139169.16	566.04	1068	10791036
Palatini	1	40	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	3:04:04	193596.99	907.79	1761	10895528
Palatini	2	40	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	2:40:13	194950.29	920.58	2037	11540192
Palatini	3	40	1	Flavi_cut	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	91.5 Mb	328,942,838 bp	2:42:12	197756.8	802.63	2040	11564560
												
												
detectEVE	1	1	1	Flavi.dmnd	MSI 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz   	91.5 Mb	328,942,838 bp	1:00:59	3491.67	70.79	97	10028852
detectEVE	1	8	1	Flavi.dmnd	MSI 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz   	91.5 Mb	328,942,838 bp	17:19.93	6690.43	80.75	651	10932952
												
Palatini	1	40	24	Flavi.dmnd	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	n.d.	n.d.	25:53:39	1150346.03	21890.24	1257	11528756
DIGS	1	40	24	Flavi.dmnd	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	n.d.	n.d.	16:59:58	532742.52	5639.45	879	523500
detectEVE	1	40	24	Flavi.dmnd	Intel(R) Xeon(R) Gold 5215 CPU @ 2.50GHz	n.d.	n.d.	2:35:23	272639.46	18522.25	3122	23940556
