1903340,38,anopheles flavivirus variant 1
1903341,39,anopheles flavivirus variant 2
1969397,42,karumba virus,VHostDB
1969400,44,mac peak virus,VHostDB
54315,104,bovine viral diarrhea virus 2,VHostDB
